row_id,Lineage,label,split
0,2,1,train
1,2,0,train
2,4,0,test
4,4,0,test
6,4,0,test
7,4,0,test
8,4,0,test
9,4,0,test
10,4,0,test
13,4,0,test
14,2,0,train
15,4,1,test
17,4,0,test
18,4,0,test
19,4,0,test
20,4,0,test
21,4,1,test
23,4,1,test
24,4,1,test
25,4,0,test
26,4,1,test
27,2,1,train
28,4,1,test
29,4,1,test
30,4,0,test
31,4,1,test
32,4,1,test
33,2,0,train
35,4,0,test
36,4,1,test
37,4,1,test
38,4,1,test
40,4,0,test
41,4,1,test
43,4,1,test
44,2,1,train
52,4,0,test
53,4,1,test
54,2,1,train
55,4,0,test
56,4,1,test
57,4,0,test
58,4,0,test
60,4,0,test
61,4,0,test
64,4,1,test
65,4,1,test
66,4,0,test
67,4,0,test
68,4,1,test
69,4,1,test
71,2,1,train
72,2,1,train
73,2,1,train
87,4,0,test
88,4,1,test
89,4,1,test
90,2,0,train
91,2,0,train
92,4,1,test
93,2,1,train
94,4,1,test
95,4,1,test
96,4,1,test
97,4,1,test
99,4,1,test
100,2,1,train
101,4,1,test
103,2,0,train
104,4,0,test
105,2,1,train
106,4,1,test
107,4,1,test
108,2,0,train
109,4,0,test
110,2,0,train
112,2,0,train
113,2,1,train
114,2,0,train
115,2,0,train
116,2,0,train
117,2,1,train
118,2,0,train
122,2,1,train
123,2,0,train
124,2,0,train
125,2,0,train
126,4,0,test
127,2,1,train
128,1,1,train
129,2,0,train
130,2,0,train
131,2,1,train
132,2,0,train
134,2,1,train
142,2,0,train
144,2,0,train
147,2,1,train
150,2,1,train
152,2,0,train
153,2,0,train
155,"2,4",0,train
157,2,0,train
158,2,0,train
160,2,0,train
161,2,1,train
162,2,1,train
163,2,0,train
164,2,0,train
165,2,1,train
166,2,1,train
167,2,1,train
168,2,1,train
169,2,1,train
170,4,1,test
171,2,1,train
172,2,1,train
173,1,1,train
174,2,1,train
175,2,1,train
176,2,1,train
177,2,1,train
178,2,1,train
179,2,1,train
180,2,1,train
181,4,1,test
182,2,1,train
183,2,1,train
184,4,1,test
185,2,1,train
186,2,1,train
187,2,1,train
188,2,1,train
189,2,1,train
190,4,1,test
191,2,1,train
192,4,1,test
193,2,1,train
194,2,1,train
195,4,1,test
196,2,1,train
197,2,1,train
198,2,1,train
199,2,1,train
200,2,1,train
201,2,1,train
202,2,1,train
203,2,1,train
204,2,1,train
205,2,1,train
206,2,1,train
207,2,1,train
208,2,1,train
209,2,1,train
210,2,1,train
211,2,1,train
212,2,1,train
213,2,1,train
214,2,1,train
215,2,1,train
216,2,1,train
217,2,1,train
218,2,1,train
219,2,1,train
220,2,1,train
221,2,1,train
222,2,1,train
223,2,1,train
224,2,1,train
225,4,1,test
226,4,1,test
227,4,1,test
228,4,1,test
229,4,1,test
230,4,1,test
231,4,1,test
232,4,1,test
233,4,1,test
234,4,1,test
235,4,1,test
236,4,1,test
237,4,1,test
238,4,1,test
239,4,1,test
240,4,1,test
241,4,1,test
242,2,1,train
243,4,1,test
244,4,1,test
245,4,1,test
246,4,1,test
247,2,1,train
248,2,1,train
249,2,1,train
250,2,1,train
251,2,1,train
252,2,0,train
253,2,0,train
254,2,1,train
255,2,1,train
256,4,1,test
257,4,1,test
258,4,1,test
259,4,0,test
260,4,1,test
261,2,1,train
262,4,1,test
263,4,1,test
264,4,0,test
265,4,1,test
266,4,1,test
267,4,0,test
268,4,1,test
269,4,1,test
270,4,1,test
271,4,1,test
272,4,1,test
273,4,1,test
274,4,1,test
275,4,1,test
276,4,1,test
277,4,1,test
278,4,1,test
279,2,1,train
280,2,1,train
281,4,1,test
282,4,1,test
283,4,1,test
284,2,1,train
285,4,1,test
286,4,1,test
287,4,1,test
288,2,1,train
289,4,1,test
290,4,1,test
291,4,0,test
292,4,1,test
293,4,1,test
294,2,1,train
295,3,1,train
296,2,1,train
297,2,1,train
298,2,1,train
299,2,1,train
300,2,1,train
301,2,1,train
302,4,1,test
303,4,1,test
304,4,0,test
305,2,1,train
306,1,1,train
307,4,0,test
308,4,1,test
309,4,1,test
310,4,1,test
311,4,1,test
312,4,1,test
313,2,1,train
314,4,1,test
315,1,1,train
316,2,1,train
317,4,1,test
318,2,1,train
319,1,1,train
320,1,1,train
321,1,1,train
322,2,1,train
323,4,1,test
324,4,1,test
383,4,0,test
384,4,1,test
385,4,0,test
386,4,0,test
388,4,0,test
390,4,1,test
391,4,0,test
392,4,1,test
396,4,1,test
397,4,1,test
399,4,1,test
400,4,1,test
401,4,1,test
402,4,1,test
403,4,1,test
404,4,1,test
405,4,1,test
407,4,1,test
410,4,1,test
411,4,1,test
414,4,1,test
415,2,1,train
417,4,1,test
418,4,1,test
420,4,1,test
421,4,1,test
422,4,1,test
424,4,1,test
425,4,1,test
426,4,1,test
427,4,1,test
429,4,1,test
433,4,1,test
437,4,1,test
438,4,1,test
439,4,1,test
440,4,1,test
443,4,1,test
444,4,1,test
445,4,1,test
447,4,1,test
448,2,1,train
451,2,1,train
452,4,1,test
453,4,1,test
459,4,1,test
460,4,1,test
461,4,1,test
462,4,0,test
468,4,1,test
470,4,1,test
471,4,1,test
477,4,1,test
483,4,1,test
488,4,1,test
496,4,1,test
498,4,1,test
499,4,1,test
504,4,1,test
511,4,1,test
523,4,1,test
530,4,1,test
534,4,1,test
541,4,1,test
558,4,1,test
559,2,1,train
565,4,1,test
569,4,1,test
575,4,1,test
590,4,1,test
598,4,1,test
607,4,1,test
630,4,1,test
641,4,1,test
657,4,1,test
659,4,1,test
662,4,1,test
672,4,1,test
677,4,1,test
684,4,1,test
698,4,1,test
717,2,1,train
723,4,1,test
728,4,1,test
733,4,1,test
739,4,1,test
741,4,1,test
750,4,1,test
753,4,1,test
