row_id,Lineage,label,split
0,2,0,train
1,2,0,train
2,4,0,test
3,4,1,test
4,4,0,test
5,4,1,test
6,4,0,test
7,4,0,test
8,4,0,test
9,4,0,test
10,4,0,test
11,4,1,test
12,4,1,test
13,4,0,test
14,4,1,test
15,4,1,test
16,4,0,test
17,4,0,test
18,4,0,test
19,2,0,train
20,4,1,test
21,4,1,test
22,4,1,test
23,4,1,test
24,4,1,test
25,4,0,test
26,4,1,test
27,4,1,test
28,4,1,test
29,4,1,test
30,4,0,test
31,4,1,test
32,4,1,test
33,2,0,train
34,4,0,test
35,4,0,test
36,4,1,test
37,4,1,test
38,4,1,test
39,4,0,test
40,4,0,test
41,2,1,train
42,2,0,train
43,2,1,train
44,4,1,test
45,4,1,test
46,1,1,train
47,4,1,test
48,4,1,test
49,1,1,train
50,4,1,test
51,4,1,test
52,4,0,test
53,4,1,test
54,4,1,test
55,4,0,test
56,4,1,test
57,4,0,test
58,4,0,test
59,4,1,test
60,4,0,test
61,2,0,train
62,4,1,test
63,4,1,test
64,4,1,test
65,4,1,test
66,4,0,test
67,4,1,test
68,4,1,test
69,4,1,test
70,4,1,test
71,4,1,test
72,4,1,test
73,4,1,test
74,4,1,test
75,4,1,test
76,4,1,test
77,4,1,test
78,4,1,test
79,4,1,test
80,4,1,test
81,4,1,test
82,4,1,test
83,4,1,test
84,4,1,test
85,1,1,train
86,4,1,test
87,2,0,train
88,4,1,test
89,4,0,test
90,4,0,test
91,4,1,test
92,4,1,test
93,4,1,test
94,4,1,test
95,4,1,test
96,2,0,train
97,4,1,test
98,4,1,test
99,4,1,test
100,4,1,test
101,4,1,test
102,4,1,test
103,4,1,test
104,4,0,test
105,4,1,test
106,2,1,train
107,2,0,train
108,2,0,train
109,2,0,train
110,2,0,train
111,4,1,test
112,4,0,test
113,4,0,test
114,4,1,test
115,4,1,test
116,4,0,test
117,4,1,test
118,2,0,train
119,2,1,train
120,2,1,train
121,4,1,test
122,2,0,train
123,4,1,test
124,4,0,test
125,4,0,test
126,4,1,test
127,4,1,test
128,4,0,test
129,2,0,train
130,2,0,train
131,4,1,test
132,2,0,train
133,4,1,test
134,4,1,test
135,4,1,test
136,4,1,test
137,4,1,test
138,4,1,test
139,4,1,test
140,4,1,test
141,4,1,test
142,4,1,test
143,4,1,test
144,4,0,test
145,2,1,train
146,4,1,test
147,4,0,test
148,4,1,test
149,4,1,test
150,4,1,test
151,4,1,test
152,4,0,test
153,2,0,train
154,2,1,train
155,4,0,test
156,4,1,test
157,4,0,test
158,2,0,train
159,4,0,test
160,4,0,test
161,2,0,train
162,4,1,test
163,4,0,test
164,2,0,train
165,4,1,test
166,2,1,train
167,2,1,train
168,2,1,train
169,2,1,train
170,2,1,train
171,2,1,train
172,2,1,train
173,2,1,train
174,2,0,train
175,2,1,train
176,2,1,train
177,2,1,train
178,2,1,train
179,2,1,train
180,2,1,train
181,2,1,train
182,4,1,test
183,2,1,train
184,1,1,train
185,2,1,train
186,2,1,train
187,2,1,train
188,2,1,train
189,2,1,train
190,2,1,train
191,1,1,train
192,2,1,train
193,2,1,train
194,2,1,train
196,2,1,train
197,2,1,train
198,2,1,train
199,2,1,train
200,2,1,train
201,2,1,train
202,2,1,train
203,2,1,train
204,1,1,train
205,2,1,train
206,2,1,train
207,2,1,train
208,2,1,train
209,2,1,train
210,"2,4",1,train
211,2,1,train
212,2,1,train
213,2,1,train
214,2,1,train
215,2,1,train
216,2,1,train
217,2,1,train
218,2,1,train
219,2,1,train
220,2,1,train
221,2,1,train
222,2,1,train
223,2,1,train
224,2,1,train
225,4,1,test
226,2,1,train
227,2,0,train
228,1,1,train
229,2,1,train
230,2,1,train
231,2,1,train
232,2,1,train
233,2,1,train
234,2,1,train
235,2,1,train
236,4,1,test
237,2,1,train
238,2,0,train
239,4,1,test
240,2,1,train
241,2,1,train
242,2,1,train
243,2,0,train
244,2,1,train
245,4,1,test
246,2,1,train
247,4,1,test
248,2,1,train
249,2,0,train
250,4,1,test
251,2,1,train
252,2,0,train
253,2,0,train
254,2,1,train
255,2,0,train
256,2,1,train
257,2,0,train
258,2,1,train
259,2,0,train
260,2,0,train
261,2,0,train
262,2,0,train
263,2,1,train
264,2,0,train
265,2,1,train
266,2,1,train
267,2,0,train
268,2,1,train
269,2,0,train
270,2,1,train
271,2,1,train
272,2,1,train
273,2,1,train
274,2,1,train
275,2,1,train
276,2,0,train
277,2,1,train
278,2,1,train
279,2,0,train
280,4,1,test
281,4,1,test
282,4,1,test
283,4,1,test
284,4,1,test
285,4,1,test
286,4,1,test
287,4,1,test
288,4,1,test
289,4,1,test
290,4,1,test
291,4,1,test
292,4,1,test
293,4,1,test
294,4,1,test
295,4,1,test
296,4,1,test
297,2,1,train
298,4,1,test
299,4,1,test
